video_id,comment_text,like_count,published_at,author,fetched_at
8sJlOmE8HKY,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ chatori bahut 2 film kab aaegi Bhojpuri,1,2026-04-12T10:46:57Z,@Mangesh..Kumar-e8k,2026-04-13T13:58:15.202790
8sJlOmE8HKY,Full movie download kariye,0,2026-04-12T07:25:34Z,@aps7209,2026-04-13T13:58:15.202791
8sJlOmE8HKY,Full movie kab aaega bahut Achcha hai vah bhi hai,0,2026-04-12T07:15:52Z,@Priti-k3k,2026-04-13T13:58:15.202793
8sJlOmE8HKY,nepal jaisa boarding school band kari,0,2026-04-12T05:35:18Z,@mithilareviewghar,2026-04-13T13:58:15.202795
8sJlOmE8HKY,🎉🎉🎉🫡🫡🫡🙏🙏♥️♥️👌👌👌👌😭😭😭😭😭👌👌♥️🙏🙏🙏🫡🙏🙏🙏,0,2026-04-12T04:58:30Z,@LalitaMaurya-e1d,2026-04-13T13:58:15.202797
8sJlOmE8HKY,Mere pass yek naya movie hai bhojpuri,0,2026-04-12T03:16:42Z,@jaiSahu-gy7id,2026-04-13T13:58:15.202799
8sJlOmE8HKY,0:32,0,2026-04-12T03:10:17Z,@Mithun-m6i1d,2026-04-13T13:58:15.202802
8sJlOmE8HKY,Tailer bolkr  puri movie dikha di..😂😂😂😂😂ab kya theatre me gaana sunne jayenge😂,0,2026-04-12T01:21:13Z,@JITENDRAVISHWAKARMA-u5g,2026-04-13T13:58:15.202804
8sJlOmE8HKY,yeh bhjpri vale pgl hai kya 😅 poori movie hi dikha di,0,2026-04-11T20:21:34Z,@GUPTAactivePRIYA,2026-04-13T13:58:15.202805
8sJlOmE8HKY,🎉❤❤🎉🎉❤🎉❤❤🎉🎉❤❤🎉🎉❤❤🎉❤🎉❤🎉❤🎉🎉❤🎉❤🎉❤❤🎉❤❤❤❤😂😂❤❤,0,2026-04-11T14:41:29Z,@GoluKumar-f3f2x,2026-04-13T13:58:15.202808
8sJlOmE8HKY,Mujhe to anjana Singh movie bhut achi lagti hai ❤❤❤,1,2026-04-11T13:50:17Z,@SanjayMehra-e9p2e,2026-04-13T13:58:15.202810
8sJlOmE8HKY,अच्छा लगा,0,2026-04-11T12:49:46Z,@Vlog-e8u5j,2026-04-13T13:58:15.202812
8sJlOmE8HKY,Full movie kb aayega youtube pr ❤,14,2026-04-11T11:06:41Z,@sunitasingh4130,2026-04-13T13:58:15.202814
8sJlOmE8HKY,"हे हमनी के पिता  | ईसा मसीह के महिमा होखे ❤✝️
हे हमनी के पिता, जवन स्वर्ग में बानी,
तोहार नाम पवित्र मानल जाव।
तोहार राज आवे।
तोहार इच्छा स्वर्ग में जइसन,
धरती पर भी पूरा होव।
हमनी के आज के रोटी आज दीं।
और हमनी के अपराधी के माफ करीं,
जइसन हमनी अपना अपराधी के माफ करत बानी।
और हमनी के परीक्षा में ना डालीं,
बल्कि दुष्ट से बचाईं।
काहे कि राज, सामर्थ्य और महिमा,
सदा तोहरे बानी।

आमीन।


JAI YESHU MASIH KI ✝️❤️ 

JAI MARIAM ❤

JAI ISA MASIH KI ✝️🇮🇳🔥

Hallelujah ❤ Hallelujah 

Jehovah Jireh ❤

Jai Yeshu Masih Ki ✝️🇮🇳🔥",0,2026-04-11T10:27:58Z,@commentsofkerala,2026-04-13T13:58:15.202816
8sJlOmE8HKY,❤❤❤❤❤,1,2026-04-11T10:25:35Z,@saurabhbharti2312,2026-04-13T13:58:15.202817
8sJlOmE8HKY,Kab aaya ga ya movie,2,2026-04-11T10:09:34Z,@MuskanMuskankashyap-c9x,2026-04-13T13:58:15.202819
8sJlOmE8HKY,👌,0,2026-04-11T09:01:10Z,@mithailalyadav8663,2026-04-13T13:58:15.202821
8sJlOmE8HKY,My dear friend.please.Chatoribahubhojpurimovie.jaldiseplease.,0,2026-04-11T08:44:51Z,@ChandanSaha-o9p,2026-04-13T13:58:15.202823
8sJlOmE8HKY,Congratulations 🎉👏,0,2026-04-11T08:16:13Z,@AJAYKUMARSHARMA-dx1pq,2026-04-13T13:58:15.202825
8sJlOmE8HKY,❤,0,2026-04-11T07:41:03Z,@MuhammadAfzal-iq2yl,2026-04-13T13:58:15.202828
8sJlOmE8HKY,Anjana Singh ki ek se ek movie jabardast and superduper ❤❤,2,2026-04-11T07:32:16Z,@manish_yadav-10m,2026-04-13T13:58:15.202830
8sJlOmE8HKY,Trailer bahut accha he..ab bs movie ka wait he,0,2026-04-11T07:07:28Z,@SunitaYadav-c6h,2026-04-13T13:58:15.202832
8sJlOmE8HKY,Movie ki story to sb yahi bataa diya,0,2026-04-11T07:01:55Z,@RadhikaPrajapati-v3z,2026-04-13T13:58:15.202833
8sJlOmE8HKY,Full movie ❤❤❤,2,2026-04-11T06:51:43Z,@AnilrupaAnilrupa-m6o,2026-04-13T13:58:15.202835
8sJlOmE8HKY,ये मूवी कब आएगा,1,2026-04-11T06:23:17Z,@nikitayadav2059,2026-04-13T13:58:15.202837
8sJlOmE8HKY,Ye movie kb aaye gi,3,2026-04-11T06:06:39Z,@PramodKumar-us5xc,2026-04-13T13:58:15.202838
